date,temperature_2m_mean,precipitation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,sunshine_duration,year
2023-04-18,8.814834,0.2,11.856501,7.0065,78.366646,32.151043,21109.463,2023
2023-04-19,10.2065,0.0,14.856501,6.8065,73.10815,29.660152,45694.43,2023
2023-04-20,8.821084,2.3,14.606501,5.1064997,68.47375,29.379175,38180.85,2023
2023-04-21,7.296083,3.2999997,11.2065,4.5065,84.35446,16.263872,25423.943,2023
2023-04-22,7.981499,1.5,13.3065,1.4565,79.74254,17.651016,31673.6,2023
2023-04-23,10.377334,3.8999996,13.0065,8.0565,81.54005,21.9718,15466.255,2023
2023-04-24,8.083583,13.8,11.9065,5.3065,81.08618,20.393293,25812.83,2023
2023-04-25,6.4440002,0.0,10.2065,1.1065,68.010475,12.904882,37981.805,2023
2023-04-26,7.8585835,0.0,11.5565,3.1565,69.364525,15.072783,22907.348,2023
2023-04-27,9.289834,6.6000004,14.0065,4.9065,75.22625,21.767351,6199.493,2023
2023-04-28,13.248166,0.8,17.3565,8.106501,84.479546,22.461807,27535.352,2023
2023-04-29,10.898168,0.0,17.5565,4.5065,79.913536,13.358861,48842.035,2023
2023-04-30,11.3565,0.0,17.0065,4.8065,77.12803,15.856356,33127.21,2023
2023-05-01,11.937751,1.0,16.9065,8.0065,80.335686,16.039202,32198.889,2023
